oui,company
E89A8F,Quanta Computer Inc.
E89AFF,Fujian LANDI Commercial Equipment Co.,Ltd
E89D87,Toshiba
E89E0C,MAX8USA DISTRIBUTORS INC.
E89EB4,Hon Hai Precision Ind. Co.,Ltd.
E89F39,Nokia
E89F6D,Espressif Inc.
E89F80,Belkin International Inc.
E89FEC,CHENGDU KT ELECTRONIC HI-TECH CO.,LTD
E8A0CD,Nintendo Co.,Ltd
E8A0ED,Hangzhou Hikvision Digital Technology Co.,Ltd.
E8A1F8,zte corporation
E8A245,Juniper Networks
E8A34E,HUAWEI TECHNOLOGIES CO.,LTD
E8A364,Signal Path International  Peachtree Audio
E8A4C1,Deep Sea Electronics Ltd
E8A660,HUAWEI TECHNOLOGIES CO.,LTD
E8A6CA,Huawei Device Co., Ltd.
E8A72F,Microsoft Corporation
E8A730,Apple, Inc.
E8A788,XIAMEN LEELEN TECHNOLOGY CO., LTD
E8A7F2,sTraffic
E8AACB,Samsung Electronics Co.,Ltd
E8ABF3,HUAWEI TECHNOLOGIES CO.,LTD
E8ABFA,Shenzhen Reecam Tech.Ltd.
E8AC23,HUAWEI TECHNOLOGIES CO.,LTD
E8ACAD,zte corporation
E8ADA6,Sagemcom Broadband SAS
E8AEC5,Arista Networks
E8B1FC,Intel Corporate
E8B265,Dell Inc.
E8B2AC,Apple, Inc.
E8B2FE,HUMAX Co., Ltd.
E8B3EF,Fiberhome Telecommunication Technologies Co.,LTD
E8B470,IEEE Registration Authority
E8B470,:0 DongGuan Ramaxel Memory Technology
E8B470,:1 Autocom Diagnostic Partner AB
E8B470,:2 internet domain name system beijing engineering research center ltd
E8B470,:3 Webfleet Solutions B.V.
E8B470,:4 YAWATA ELECTRIC INDUSTRIAL CO.,LTD.
E8B470,:5 Alperia Fiber srl
E8B470,:6 Elcoma
E8B470,:7 Tibit Communications
E8B470,:8 DEHN SE  Co KG
E8B470,:9 Miltek Industries Pte Ltd
E8B470,:A plc2 Design GmbH
E8B470,:B Digifocus Technology Inc.
E8B470,:C Anduril Industries
E8B470,:D Medica Corporation
E8B470,:E UNICACCES GROUPE
E8B4AE,Shenzhen CD Electronics Co.,Ltd
E8B4C8,Samsung Electronics Co.,Ltd
E8B541,zte corporation
E8B5D0,Dell Inc.
E8B6C2,Juniper Networks
E8B748,Cisco Systems, Inc
E8BA70,Cisco Systems, Inc
E8BAE2,Xplora Technologies AS
E8BB3D,Sino Prime-Tech Limited
E8BBA8,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
E8BDD1,HUAWEI TECHNOLOGIES CO.,LTD
E8BE81,Sagemcom Broadband SAS
E8BFDB,Inodesign Group
E8C1B8,Nanjing Bangzhong Electronic Commerce Limited
E8C1D7,Philips
E8C1E8,Shenzhen Xiao Bi En Culture Education Technology Co.,Ltd.
E8C229,H-Displays (MSC) Bhd
E8C2DD,Infinix mobility limited
E8C320,Austco Marketing  Service (USA) ltd.
E8C417,Fiberhome Telecommunication Technologies Co.,LTD
E8C57A,Ufispace Co., LTD.
E8C74F,Liteon Technology Corporation
E8C7CF,Wistron Neweb Corporation
E8CAC8,Hui Zhou Gaoshengda Technology Co.,LTD
E8CBA1,Nokia Corporation
E8CBED,Chipsea Technologies(Shenzhen) Corp.
E8CC18,D-Link International
E8CC32,Micronet  LTD
E8CC8C,Chengdu Jia Rui Hua Lian Communication Technology Co.,Ltd.
E8CD2D,HUAWEI TECHNOLOGIES CO.,LTD
E8CE06,SkyHawke Technologies, LLC.
E8D03C,Shenzhen Jingxun Software Telecommunication Technology Co.,Ltd
E8D099,Fiberhome Telecommunication Technologies Co.,LTD
E8D0B9,Taicang TW Electronics
E8D0FA,MKS Instruments Deutschland GmbH
E8D0FC,Liteon Technology Corporation
E8D11B,ASKEY COMPUTER CORP
E8D2FF,Sagemcom Broadband SAS
E8D322,Cisco Systems, Inc
E8D483,ULTIMATE Europe Transportation Equipment GmbH
E8D4E0,Beijing BenyWave Technology Co., Ltd.
E8D52B,Google, Inc.
E8D765,HUAWEI TECHNOLOGIES CO.,LTD
E8D775,HUAWEI TECHNOLOGIES CO.,LTD
E8D819,AzureWave Technology Inc.
E8D87E,Amazon Technologies Inc.
E8D8D1,HP Inc.
E8DA00,Kivo Technology, Inc.
E8DA20,Nintendo Co.,Ltd
E8DA96,Zhuhai Tianrui Electrical Power Tech. Co., Ltd.
E8DAAA,VideoHome Technology Corp.
E8DB84,Espressif Inc.
E8DC6C,Cisco Systems, Inc
E8DE00,ChongQing GuanFang Technology Co.,LTD
E8DE27,TP-LINK TECHNOLOGIES CO.,LTD.
E8DE8E,Integrated Device Technology (Malaysia) Sdn. Bhd.
E8DED6,Intrising Networks, Inc.
E8DEFB,MESOTIC SAS
E8DF70,AVM Audiovisuelles Marketing und Computersysteme GmbH
E8DFF2,PRF Co., Ltd.
E8E07E,Silicon Laboratories
E8E08F,GRAVOTECH MARKING SAS
E8E0B7,Toshiba
E8E1E1,Gemtek Technology Co., Ltd.
E8E1E2,Energotest
E8E5D6,Samsung Electronics Co.,Ltd
E8E732,Alcatel-Lucent Enterprise
E8E770,Warp9 Tech Design, Inc.
E8E776,Shenzhen Kootion Technology Co., Ltd
E8E875,iS5 Communications Inc.
E8E8B7,Murata Manufacturing Co., Ltd.
E8E98E,SOLAR controls s.r.o.
E8EA4D,HUAWEI TECHNOLOGIES CO.,LTD
E8EA6A,StarTech.com
E8EADA,Denkovi Assembly Electronics LTD
E8EB11,Texas Instruments
E8EB1B,Microchip Technology Inc.
E8EB34,Cisco Systems, Inc
E8EBD3,Mellanox Technologies, Inc.
E8EBDD,Guangzhou Qingying Acoustics Technology Co., Ltd
E8ECA3,Dongguan Liesheng Electronic Co.Ltd
E8ED05,ARRIS Group, Inc.
E8EDD6,Fortinet, Inc.
E8EDF3,Cisco Systems, Inc
E8EECC,Fantasia Trading LLC
E8EF05,MIND TECH INTERNATIONAL LIMITED
E8EF22,Siemens Numerical Control Ltd., Nanjing
E8EF89,OPMEX Tech.
E8F1B0,Sagemcom Broadband SAS
E8F226,MILLSON CUSTOM SOLUTIONS INC.
E8F2E2,LG Innotek
E8F2E3,Starcor Beijing Co.,Limited
E8F375,Nokia
E8F408,Intel Corporate
E8F654,HUAWEI TECHNOLOGIES CO.,LTD
E8F724,Hewlett Packard Enterprise
E8F791,Xiaomi Communications Co Ltd
E8F8D0,Nokia Shanghai Bell Co., Ltd.
E8F928,RFTECH SRL
E8F9D4,HUAWEI TECHNOLOGIES CO.,LTD
E8FA23,Huawei Device Co., Ltd.
E8FAF7,Guangdong Uniteddata Holding Group Co., Ltd.
E8FB1C,AzureWave Technology Inc.
E8FBE9,Apple, Inc.
E8FC60,ELCOM Innovations Private Limited
E8FCAF,NETGEAR
E8FD35,Huawei Device Co., Ltd.
E8FD72,SHANGHAI LINGUO TECHNOLOGY CO., LTD.
E8FD90,Turbostor
E8FDE8,CeLa Link Corporation
E8FDF8,Shanghai High-Flying Electronics  Technology Co., Ltd
E8FF98,Huawei Device Co., Ltd.
EA115D,AUTOVISION TECHNOLOGY INC.
EA1ED0,ZIGPOS GmbH
EA2ADB,Labs Network Industrie 4. 0 e.V.
EA34B4,ThinkRF Inc.
EA6076,CloudSimple, Inc.
EA9FB1,Philips International B.V.
EAB89B,Thread Group, Inc.
EABC04,G3-PLC Alliance
EABEA7,Sonos, Inc.
EADD88,IEEE PES-PSRC Working Group H3, PC37.237
EAE0D9,Berk-tek LLC
EC0133,TRINUS SYSTEMS INC.
EC01D5,Cisco Systems, Inc
EC01E2,FOXCONN INTERCONNECT TECHNOLOGY
EC01EE,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
EC0273,Aruba, a Hewlett Packard Enterprise Company
EC0441,ShenZhen TIGO Semiconductor Co., Ltd.
EC086B,TP-LINK TECHNOLOGIES CO.,LTD.
EC08E5,Motorola Mobility LLC, a Lenovo Company
EC0BAE,Hangzhou BroadLink Technology Co.,Ltd
EC0C96,Nokia
EC0D9A,Mellanox Technologies, Inc.
EC0DE4,Amazon Technologies Inc.
EC0EC4,Hon Hai Precision Ind. Co.,Ltd.
EC0ED6,ITECH INSTRUMENTS SAS
EC107B,Samsung Electronics Co.,Ltd
EC1120,FloDesign Wind Turbine Corporation
EC1127,Texas Instruments
EC13B2,Netonix
EC13DB,Juniper Networks
EC14F6,BioControl AS
EC153D,Beijing Yaxunhongda Technology Co., Ltd.
EC172F,TP-LINK TECHNOLOGIES CO.,LTD.
EC1766,Research Centre Module
EC1A02,HUAWEI TECHNOLOGIES CO.,LTD
EC1A59,Belkin International Inc.
EC1BBD,Silicon Laboratories
EC1C5D,Siemens AG
EC1D7F,zte corporation
EC1D8B,Cisco Systems, Inc
EC1D9E,Quectel Wireless Solutions Co.,Ltd.
EC1F72,SAMSUNG ELECTRO-MECHANICS(THAILAND)
EC2125,Toshiba Corp.
EC2150,vivo Mobile Communication Co., Ltd.
EC219F,VidaBox LLC
EC21E5,Toshiba
EC2257,JiangSu NanJing University Electronic Information Technology Co.,Ltd
EC2280,D-Link International
EC233D,HUAWEI TECHNOLOGIES CO.,LTD
EC2368,IntelliVoice Co.,Ltd.
EC237B,zte corporation
EC24B8,Texas Instruments
EC2651,Apple, Inc.
EC26CA,TP-LINK TECHNOLOGIES CO.,LTD.
EC26FB,TECC CO.,LTD.
EC28D3,Apple, Inc.
EC2A72,Dell Inc.
EC2AF0,Ypsomed AG
EC2BEB,Amazon Technologies Inc.
EC2C11,CWD INNOVATION LIMITED
EC2C49,University of Tokyo
EC2C73,Apple, Inc.
EC2CE2,Apple, Inc.
EC2E4E,HITACHI-LG DATA STORAGE INC
EC2E98,AzureWave Technology Inc.
EC3091,Cisco Systems, Inc
EC30B3,Xiaomi Communications Co Ltd
EC316D,Hansgrohe
EC354D,Wingtech Mobile Communications Co.,Ltd
EC3586,Apple, Inc.
EC363F,Markov Corporation
EC3873,Juniper Networks
EC388F,HUAWEI TECHNOLOGIES CO.,LTD
EC3A52,Huawei Device Co., Ltd.
EC3BF0,NovelSat
EC3C5A,SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.,LTD
EC3C88,MCNEX Co.,Ltd.
EC3CBB,Huawei Device Co., Ltd.
EC3DFD,SHENZHEN BILIAN ELECTRONIC CO.，LTD
EC3E09,PERFORMANCE DESIGNED PRODUCTS, LLC
EC3EB3,Zyxel Communications Corporation
EC3EF7,Juniper Networks
EC3F05,Institute 706, The Second Academy China Aerospace Science  Industry Corp
EC4118,XIAOMI Electronics,CO.,LTD
EC41CA,Shenzhen TecAnswer Technology co.,ltd
EC4269,HMD Global Oy
EC42B4,ADC Corporation
EC42CC,Apple, Inc.
EC42F0,ADL Embedded Solutions, Inc.
EC438B,YAPTV
EC43E6,AWCER Ltd.
EC43F6,Zyxel Communications Corporation
EC4476,Cisco Systems, Inc
EC4644,TTK SAS
EC4670,Meinberg Funkuhren GmbH  Co. KG
EC473C,Redwire, LLC
EC4993,Qihan Technology Co., Ltd
EC4C4D,ZAO NPK RoTeK
EC4D3E,Beijing Xiaomi Mobile Software Co., Ltd
EC4D47,HUAWEI TECHNOLOGIES CO.,LTD
EC4F82,Calix Inc.
EC50AA,Aruba, a Hewlett Packard Enterprise Company
EC51BC,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
EC52DC,WORLD MEDIA AND TECHNOLOGY Corp.
EC5382,Honor Device Co., Ltd.
EC542E,Shanghai XiMei Electronic Technology Co. Ltd
EC551C,HUAWEI TECHNOLOGIES CO.,LTD
EC55F9,Hon Hai Precision Ind. Co.,Ltd.
EC5623,HUAWEI TECHNOLOGIES CO.,LTD
EC570D,AFE Inc.
EC58EA,Ruckus Wireless
EC59E7,Microsoft Corporation
EC5A86,Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
EC5B73,Advanced  Wise Technology Corp.
EC5C68,CHONGQING FUGUI ELECTRONICS CO.,LTD.
EC5C69,MITSUBISHI HEAVY INDUSTRIES MECHATRONICS SYSTEMS,LTD.
EC5C84,Murata Manufacturing Co., Ltd.
EC5F23,Qinghai Kimascend Electronics Technology Co. Ltd.
EC6073,TP-LINK TECHNOLOGIES CO.,LTD.
EC60E0,AVI-ON LABS
EC6260,Espressif Inc.
EC6264,Global411 Internet Services, LLC
EC63D7,Intel Corporate
EC63E5,ePBoard Design LLC
EC63ED,Hyundai Autoever Corp.
EC6488,Honor Device Co., Ltd.
EC64E7,MOCACARE Corporation
EC656E,The Things Industries B.V.
EC65CC,Panasonic Automotive Systems Company of America
EC66D1,BW Group LTD
EC6794,Aruba, a Hewlett Packard Enterprise Company
EC6881,Palo Alto Networks
EC6C9A,Arcadyan Corporation
EC6C9F,Chengdu Volans Technology CO.,LTD
EC6CB5,zte corporation
EC6F0B,FADU, Inc.
EC7097,ARRIS Group, Inc.
EC71DB,Shenzhen Baichuan Digital Technology Co., Ltd.
EC7379,Apple, Inc.
EC7427,eero inc.
EC74BA,Hirschmann Automation and Control GmbH
EC74D7,Grandstream Networks Inc
EC753E,HUAWEI TECHNOLOGIES CO.,LTD
EC75ED,Citrix Systems, Inc.
EC7949,FUJITSU LIMITED
EC79F2,Startel
EC7C2C,HUAWEI TECHNOLOGIES CO.,LTD
EC7C5C,Juniper Networks
EC7C74,Justone Technologies Co., Ltd.
EC7CB6,Samsung Electronics Co.,Ltd
EC7D11,vivo Mobile Communication Co., Ltd.
EC7D9D,CPI
EC7E91,ITEL MOBILE LIMITED
EC7FC6,ECCEL CORPORATION SAS
EC8009,NovaSparks
EC8150,Apple, Inc.
EC8193,Logitech, Inc
EC819C,HUAWEI TECHNOLOGIES CO.,LTD
EC8263,zte corporation
EC8350,Microsoft Corporation
EC836C,RM Tech Co., Ltd.
EC83B7,PUWELL CLOUD TECH LIMITED
EC83D5,GIRD Systems Inc
EC84B4,CIG SHANGHAI CO LTD
EC852F,Apple, Inc.
EC888F,TP-LINK TECHNOLOGIES CO.,LTD.
EC8892,Motorola Mobility LLC, a Lenovo Company
EC8914,HUAWEI TECHNOLOGIES CO.,LTD
EC89F5,Lenovo Mobile Communication Technology Ltd.
EC8A48,Arista Networks
EC8A4C,zte corporation
EC8AC4,Amazon Technologies Inc.
EC8AC7,Fiberhome Telecommunication Technologies Co.,LTD
EC8C9A,HUAWEI TECHNOLOGIES CO.,LTD
EC8CA2,Ruckus Wireless
EC8EAD,DLX
EC8EAE,Nagravision SA
EC8EB5,Hewlett Packard
EC9233,Eddyfi NDT Inc
EC9327,MEMMERT GmbH  Co. KG
EC9365,Mapper.ai, Inc.
EC937D,Technicolor CH USA Inc.
EC93ED,DDoS-Guard LTD
EC9468,META SYSTEM SPA
EC94CB,Espressif Inc.
EC94D5,Juniper Networks
EC9681,2276427 Ontario Inc
EC96BF,eSystems MTG GmbH
EC97B2,SUMEC Machinery  Electric Co.,Ltd.
EC97E0,Hangzhou Ezviz Software Co.,Ltd.
EC986C,Lufft Mess- und Regeltechnik GmbH
EC98C1,Beijing Risbo Network Technology Co.,Ltd
EC9A74,Hewlett Packard
EC9B2D,China Mobile Group Device Co.,Ltd.
EC9B5B,Nokia Corporation
EC9B8B,Hewlett Packard Enterprise
EC9BF3,SAMSUNG ELECTRO-MECHANICS(THAILAND)
EC9C32,Sichuan AI-Link Technology Co., Ltd.
EC9ECD,Artesyn Embedded Technologies
EC9F0D,IEEE Registration Authority
EC9F0D,:0 Hesai Photonics Technology Co., Ltd
EC9F0D,:1 Simula Technology Inc.
EC9F0D,:2 DRB Systems
EC9F0D,:3 Waverly Labs Inc.
EC9F0D,:4 WisIOE
EC9F0D,:5 Paw-Taw-John Services, Inc.
EC9F0D,:6 Shenzhen Compare Electronics Co., Ltd
EC9F0D,:7 Bei jing Lian Shan times Techonology Co.Ltd
EC9F0D,:8 Zhejiang HEJU Communication Technology Co., Ltd
EC9F0D,:9 FCI
EC9F0D,:A flexlog GmbH
EC9F0D,:B CRRC QINGDAO SIFANG ROLLING STOCK RESEARCH INSTITUTE CO.,LTD
EC9F0D,:C Sarcos Corp
EC9F0D,:D SKS Control Oy
EC9F0D,:E MAX Technologies
ECA138,Amazon Technologies Inc.
ECA1D1,HUAWEI TECHNOLOGIES CO.,LTD
ECA29B,Kemppi Oy
ECA2A0,Taicang TW Electronics
ECA5DE,ONYX WIFI Inc
ECA62F,HUAWEI TECHNOLOGIES CO.,LTD
ECA7AD,Barrot Technology Co.,Ltd.
ECA81F,Technicolor CH USA Inc.
ECA86B,Elitegroup Computer Systems Co.,Ltd.
ECA907,Apple, Inc.
ECA940,ARRIS Group, Inc.
ECA9FA,GUANGDONG GENIUS TECHNOLOGY CO., LTD.
ECAA25,Samsung Electronics Co.,Ltd
ECAA8F,HUAWEI TECHNOLOGIES CO.,LTD
ECAAA0,PEGATRON CORPORATION
ECADB8,Apple, Inc.
ECADE0,D-Link International
ECAF97,GIT
ECAFF9,Hailo Technologies Ltd.
ECB0E1,Ciena Corporation
ECB106,Acuro Networks, Inc
ECB1D7,Hewlett Packard
ECB313,SHENZHEN GONGJIN ELECTRONICS CO.,LT
ECB4E8,Wistron Mexico SA de CV
ECB541,SHINANO E and E Co.Ltd.
ECB5FA,Philips Lighting BV
ECB870,Beijing Heweinet Technology Co.,Ltd.
ECB907,CloudGenix Inc
ECB970,Ruijie Networks Co.,LTD
ECBAFE,GIROPTIC
ECBBAE,Digivoice Tecnologia em Eletronica Ltda
ECBD09,FUSION Electronics Ltd
ECBD1D,Cisco Systems, Inc
ECBE5F,Vestel Elektronik San ve Tic. A.Ş.
ECBEDD,Sagemcom Broadband SAS
ECC018,Cisco Systems, Inc
ECC01B,HUAWEI TECHNOLOGIES CO.,LTD
ECC06A,PowerChord Group Limited
ECC07A,Laird Connectivity
ECC1AB,Guangzhou Shiyuan Electronic Technology Company Limited
ECC302,HUMAX Co., Ltd.
ECC38A,Accuenergy (CANADA) Inc
ECC3B0,zte corporation
ECC40D,Nintendo Co.,Ltd
ECC57F,Suzhou Pairlink Network Technology
ECC5D2,Huawei Device Co., Ltd.
ECC882,Cisco Systems, Inc
ECC89C,Hangzhou Hikvision Digital Technology Co.,Ltd.
ECCB30,HUAWEI TECHNOLOGIES CO.,LTD
ECCD6D,Allied Telesis, Inc.
ECCE13,Cisco Systems, Inc
ECCED7,Apple, Inc.
ECD00E,MiraeRecognition Co., Ltd.
ECD040,GEA Farm Technologies GmbH
ECD09F,Xiaomi Communications Co Ltd
ECD19A,Zhuhai Liming Industries Co., Ltd
ECD68A,Shenzhen JMicron Intelligent Technology Developmen
ECD925,RAMI
ECD950,IRT SA
ECD9D1,Shenzhen TG-NET Botone Technology Co.,Ltd.
ECDA3B,Espressif Inc.
ECDA59,New H3C Technologies Co., Ltd
ECDB86,API-K
ECDE3D,Lamprey Networks, Inc.
ECDF3A,vivo Mobile Communication Co., Ltd.
ECDFC9,Hangzhou Microimage Software Co., Ltd
ECE09B,Samsung Electronics Co.,Ltd
ECE154,Beijing Unisound Information Technology Co.,Ltd.
ECE1A9,Cisco Systems, Inc
ECE2FD,SKG Electric Group(Thailand) Co., Ltd.
ECE512,tado GmbH
ECE555,Hirschmann Automation
ECE61D,Huawei Device Co., Ltd.
ECE6A2,Fiberhome Telecommunication Technologies Co.,LTD
ECE744,Omntec mfg. inc
ECE7A7,Intel Corporate
ECE90B,SISTEMA SOLUCOES ELETRONICAS LTDA - EASYTECH
ECE915,STI Ltd
ECE9F8,Guang Zhou TRI-SUN Electronics Technology  Co., Ltd
ECEA03,DARFON LIGHTING CORP
ECEBB8,Hewlett Packard Enterprise
ECED73,Motorola Mobility LLC, a Lenovo Company
ECEED8,ZTLX Network Technology Co.,Ltd
ECEF17,Sunplus Technology Co., Ltd.
ECF00E,AboCom
ECF0FE,zte corporation
ECF22B,TECNO MOBILE LIMITED
ECF236,NEOMONTANA ELECTRONICS
ECF342,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
ECF35B,Nokia Corporation
ECF40C,Cisco Systems, Inc
ECF451,Arcadyan Corporation
ECF4BB,Dell Inc.
ECF6BD,SNCF MOBILITÉS
ECF72B,HD DIGITAL TECH CO., LTD.
ECF8D0,HUAWEI TECHNOLOGIES CO.,LTD
ECF8EB,SICHUAN TIANYI COMHEART TELECOMCO., LTD
ECFA03,FCA
ECFA5C,Beijing Xiaomi Electronics Co., Ltd.
ECFAAA,The IMS Company
ECFABC,Espressif Inc.
ECFAF4,SenRa Tech Pvt. Ltd
ECFC55,A. Eberle GmbH  Co. KG
ECFE7E,BlueRadios, Inc.
F0007F,Janz - Contadores de Energia, SA
F0016E,Tianyi Telecom Terminals Company Limited
F0022B,Chrontel
F00248,SmarteBuilding
F0038C,AzureWave Technology Inc.
F00786,Shandong Bittel Electronics Co., Ltd
F008D1,Espressif Inc.
F008F1,Samsung Electronics Co.,Ltd
F00D5C,JinQianMao  Technology Co.,Ltd.
F00DF5,ACOMA Medical Industry Co,. Ltd.
F00E1D,Megafone Limited
F00EBF,ZettaHash Inc.
F00FEC,HUAWEI TECHNOLOGIES CO.,LTD
F01090,New H3C Technologies Co., Ltd
F010AB,China Mobile (Hangzhou) Information Technology Co., Ltd.
F013C1,Hannto Technology Co., Ltd
F013C3,SHENZHEN FENDA TECHNOLOGY CO., LTD
F015A0,KyungDong One Co., Ltd.
F015B9,PlayFusion Limited
F01628,Technicolor (China) Technology Co., Ltd.
F0182B,LG Chem
F01898,Apple, Inc.
F01AA0,Aruba, a Hewlett Packard Enterprise Company
F01B6C,vivo Mobile Communication Co., Ltd.
F01C13,LG Electronics (Mobile Communications)
F01C2D,Juniper Networks
F01D2D,Cisco Systems, Inc
F01DBC,Microsoft Corporation
F01E34,ORICO Technologies Co., Ltd
F01FAF,Dell Inc.
F01FC7,Apple, Inc.
F020FF,Intel Corporate
F02178,UNIONMAN TECHNOLOGY CO.,LTD
F0219D,Cal-Comp Electronics  Communications Company Ltd.
F021E0,eero inc.
F0221D,IEEE Registration Authority
F0221D,:0 THANHBINH COMPANY - E111 FACTORY
F0221D,:1 Dr. Eberl MBE Komponenten GmbH
F0221D,:2 Chonel IndustryshanghaiCo., Ltd.
F0221D,:3 ShenZhen Shizao Electronic Technology
F0221D,:4 Synergies Intelligent Systems Inc.
F0221D,:5 Shenzhen SuyuVisonTechnology Co.,Ltd
F0221D,:6 Vcognition Technologies Inc.
F0221D,:7 Bulat Co., Limited
F0221D,:8 Shenzhen Glazero Technology Co., Ltd.
F0221D,:9 Shanghai Gfanxvision Intelligent Technology Co.Ltd
F0221D,:A Hangzhou Gold Electronic Equipment Co., Ltd
F0221D,:B LK Systems AB
F0221D,:C Estone Technology LTD
F0221D,:D Schleissheimer Soft- und Hardwareentwicklung GmbH
F0221D,:E oToBrite Electronics, Inc.
F0224E,Esan electronic co.
F02329,SHOWA DENKI CO.,LTD.
F023AE,AMPAK Technology,Inc.
F023B9,IEEE Registration Authority
F023B9,:0 Aquametro AG
F023B9,:1 Ubiant
F023B9,:2 Raysgem Electronics and Technology Co.Ltd
F023B9,:3 BSP RUS Ltd.
F023B9,:4 EZVIS LIMITED
F023B9,:5 Audeara Pty. Ltd.
F023B9,:6 Xiamen Jinhaode Electronic Co.,Ltd
F023B9,:7 Transcend Building Automation control network corporation
F023B9,:8 G3 TECHNOLOGIES INC
F023B9,:9 Emu Technology
F023B9,:A Annapurna labs
F023B9,:B Q Core Medical Ltd
F023B9,:C Shenzhen Lachesis Mhealth Co., Ltd.
F023B9,:D Shenyang Ali Technology Company Limited
F023B9,:E Domotz Ltd
F02405,OPUS High Technology Corporation
F02408,Talaris (Sweden) AB
F02475,Apple, Inc.
F02572,Cisco Systems, Inc
F0258E,HUAWEI TECHNOLOGIES CO.,LTD
F025B7,SAMSUNG ELECTRO-MECHANICS(THAILAND)
F02624,WAFA TECHNOLOGIES CO., LTD.
F0264C,Sigrist-Photometer AG
F026F8,Worldcns Co.,Ltd.
F0272D,Amazon Technologies Inc.
F02745,F-Secure Corporation
F02765,Murata Manufacturing Co., Ltd.
F02929,Cisco Systems, Inc
F02A23,Creative Next Design
F02A2B,IEEE Registration Authority
F02A2B,:0 Merlin Security Inc.
F02A2B,:1 Tobi Tribe Inc.
F02A2B,:2 Shanghai Armour Technology Co., Ltd.
F02A2B,:3 Frigotel SRL
F02A2B,:4 Onclave Networks
F02A2B,:5 Agile Sports Technologies, dba Hudl
F02A2B,:6 Shenzhen ORVIBO Technology Co., Ltd.
F02A2B,:7 Protronix s.r.o.
F02A2B,:8 Tenways Engineering Service Ltd
F02A2B,:9 ZiGong Pengcheng Technology Co.,Ltd
F02A2B,:A Navigil Ltd
F02A2B,:B EL.MO. spa
F02A2B,:C Comexio GmbH
F02A2B,:D Definitely Win Corp.,Ltd.
F02A2B,:E Shenzhen CUCO Technology Co., Ltd
F02A61,Waldo Networks, Inc.
F02E51,Casa Systems
F02F4B,Apple, Inc.
F02F74,ASUSTek COMPUTER INC.
F02FA7,HUAWEI TECHNOLOGIES CO.,LTD
F02FD8,Bi2-Vision
F0321A,Mita-Teknik AS
F033E5,HUAWEI TECHNOLOGIES CO.,LTD
F03404,TCT mobile ltd
F03575,Hui Zhou Gaoshengda Technology Co.,LTD
F037A1,Huike Electronics (SHENZHEN) CO., LTD.
F03965,Samsung Electronics Co.,Ltd
F03A4B,Bloombase, Inc.
F03A55,Omega Elektronik AS
F03D03,TECNO MOBILE LIMITED
F03D29,Actility
F03E90,Ruckus Wireless
F03EBF,GOGORO TAIWAN LIMITED
F03F95,HUAWEI TECHNOLOGIES CO.,LTD
F03FF8,R L Drake
F0407B,Fiberhome Telecommunication Technologies Co.,LTD
F041C6,Heat Tech Company, Ltd.
F041C8,IEEE Registration Authority
F041C8,:0 LINPA ACOUSTIC TECHNOLOGY CO.,LTD
F041C8,:1 DongGuan Siyoto Electronics Co., Ltd
F041C8,:2 Shenzhen Medica Technology Development Co., Ltd.
F041C8,:3 SHENZHEN WISEWING INTERNET TECHNOLOGY CO.,LTD
F041C8,:4 Candelic Limited
F041C8,:5 XIAN MEI SHANG MEI WIRELESS TECHNOLOGY.Co., Ltd.
F041C8,:6 AED Engineering GmbH
F041C8,:7 Nanchang BlackShark Co.,Ltd.
F041C8,:8 POSTIUM KOREA CO., LTD.
F041C8,:9 Shenzhen  Nufilo Electronic Technology Co., Ltd.
F041C8,:A Telstra
F041C8,:B Powervault Ltd
F041C8,:C  Shanghai Think-Force Electronic Technology Co. Ltd
F041C8,:D ATN Media Group FZ LLC
F041C8,:E Shenzhen Umind Technology Co., Ltd.
F0421C,Intel Corporate
F042F5,Huawei Device Co., Ltd.
F04335,DVN(Shanghai)Ltd.
F04347,HUAWEI TECHNOLOGIES CO.,LTD
F045DA,Texas Instruments
F0463B,Comcast Cable Corporation
F04A02,Cisco Systems, Inc
F04A2B,PYRAMID Computer GmbH
F04A3D,Bosch Thermotechnik GmbH
F04B3A,Juniper Networks
F04B6A,Scientific Production Association Siberian Arsenal, Ltd.
F04BF2,JTECH Communications, Inc.
F04CD5,Maxlinear, Inc
F04DA2,Dell Inc.
F04DD4,Sagemcom Broadband SAS
F04F7C,Amazon Technologies Inc.
F05136,TCT mobile ltd
F051EA,Fitbit, Inc.
F05494,Honeywell Connected Building
F05501,Huawei Device Co., Ltd.
F057A6,Intel Corporate
F05849,CareView Communications
F05A09,Samsung Electronics Co.,Ltd
F05B7B,Samsung Electronics Co.,Ltd
F05C19,Aruba, a Hewlett Packard Enterprise Company
F05C77,Google, Inc.
F05CD5,Apple, Inc.
F05D89,Dycon Limited
F05DC8,Duracell Powermat
F05ECD,Texas Instruments
F05F5A,Getriebebau NORD GmbH and Co. KG
F06130,Advantage Pharmacy Services, LLC
F061C0,Aruba, a Hewlett Packard Enterprise Company
